,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,52023,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,240,43,93,0.462,9,30,0.3,11,15,0.733,10,40,50,30,4,2,13,23,106,-4,1
1,52023,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,240,35,84,0.417,14,35,0.4,26,29,0.897,6,35,41,24,8,7,8,12,110,4,1
2,52023,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,240,33,80,0.413,10,32,0.313,18,23,0.783,8,34,42,19,5,3,16,17,94,-24,1
3,52023,1610612758,SAC,Sacramento Kings,0052300131,2024-04-16,SAC vs. GSW,W,240,43,98,0.439,18,39,0.462,14,15,0.933,15,34,49,28,10,5,8,17,118,24,1
4,52023,1610612748,MIA,Miami Heat,0052300101,2024-04-17,MIA @ PHI,L,240,38,90,0.422,14,39,0.359,14,19,0.737,18,29,47,23,12,4,13,19,104,-1,1
5,52023,1610612755,PHI,Philadelphia 76ers,0052300101,2024-04-17,PHI vs. MIA,W,240,36,86,0.419,12,35,0.343,21,23,0.913,15,34,49,23,4,3,16,17,105,1,1
6,52023,1610612737,ATL,Atlanta Hawks,0052300111,2024-04-17,ATL @ CHI,L,240,41,91,0.451,11,37,0.297,23,28,0.821,8,26,34,30,4,2,11,16,116,-15,1
7,52023,1610612741,CHI,Chicago Bulls,0052300111,2024-04-17,CHI vs. ATL,W,240,54,95,0.568,11,26,0.423,12,15,0.8,10,37,47,27,6,8,10,20,131,15,1
8,52023,1610612741,CHI,Chicago Bulls,0052300201,2024-04-19,CHI @ MIA,L,240,35,92,0.38,13,43,0.302,8,10,0.8,7,31,38,27,12,6,12,19,91,-21,1
9,52023,1610612748,MIA,Miami Heat,0052300201,2024-04-19,MIA vs. CHI,W,240,38,82,0.463,14,33,0.424,22,24,0.917,9,38,47,26,6,6,15,11,112,21,1
10,52023,1610612740,NOP,New Orleans Pelicans,0052300211,2024-04-19,NOP vs. SAC,W,240,44,85,0.518,7,19,0.368,10,13,0.769,11,34,45,29,9,8,16,19,105,7,1
11,52023,1610612758,SAC,Sacramento Kings,0052300211,2024-04-19,SAC @ NOP,L,240,36,88,0.409,11,41,0.268,15,22,0.682,14,26,40,21,9,4,15,17,98,-7,1
